ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,gassy,gassy_lower,gassy_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,y
-163.03333333333333,11.3560365,9.726840742188745,27.76757343593125,11.3560365,11.3560365,7.570569308857464,7.570569308857464,7.570569308857464,7.570569308857464,7.570569308857464,7.570569308857464,0.0,0.0,0.0,18.926605808857463,14.0
-163.01666666666668,11.4893862546514,10.154916913933077,28.822558332035594,11.4893862546514,11.4893862546514,7.567137489000001,7.567137489000001,7.567137489000001,7.567137489000001,7.567137489000001,7.567137489000001,0.0,0.0,0.0,19.0565237436514,14.0
-163.0,11.622736009302802,9.331351690813358,28.769407522643405,11.622736009302802,11.622736009302802,7.563069185830933,7.563069185830933,7.563069185830933,7.563069185830933,7.563069185830933,7.563069185830933,0.0,0.0,0.0,19.185805195133735,14.0
-162.98333333333332,11.756085763954202,10.014495067974023,28.67709330123874,11.756085763954202,11.756085763954202,7.558344634937562,7.558344634937562,7.558344634937562,7.558344634937562,7.558344634937562,7.558344634937562,0.0,0.0,0.0,19.314430398891766,14.0
-162.96666666666667,11.889435518605602,10.663604163347285,28.335596288217534,11.889435518605602,11.889435518605602,7.552944777128565,7.552944777128565,7.552944777128565,7.552944777128565,7.552944777128565,7.552944777128565,0.0,0.0,0.0,19.442380295734168,15.0
-162.95,12.022785273257002,10.511433608281344,28.40809726812002,12.022785273257002,12.022785273257002,7.546851270367698,7.546851270367698,7.546851270367698,7.546851270367698,7.546851270367698,7.546851270367698,0.0,0.0,0.0,19.5696365436247,14.0
-162.93333333333334,12.156135027908405,10.345836051499054,29.01162111257108,12.156135027908405,12.156135027908405,7.5400465002721235,7.5400465002721235,7.5400465002721235,7.5400465002721235,7.5400465002721235,7.5400465002721235,0.0,0.0,0.0,19.696181528180528,14.0
-162.91666666666666,12.289484782559805,10.34348232547253,28.748168479103366,12.289484782559805,12.289484782559805,7.532513589172326,7.532513589172326,7.532513589172326,7.532513589172326,7.532513589172326,7.532513589172326,0.0,0.0,0.0,19.821998371732132,14.0
-162.9,12.422834537211205,10.06036963176075,29.900375751611683,12.422834537211205,12.422834537211205,7.524236403733358,7.524236403733358,7.524236403733358,7.524236403733358,7.524236403733358,7.524236403733358,0.0,0.0,0.0,19.947070940944563,15.0
-162.88333333333333,12.556184291862605,10.28054241261399,29.186682739473493,12.556184291862605,12.556184291862605,7.515199561140226,7.515199561140226,7.515199561140226,7.515199561140226,7.515199561140226,7.515199561140226,0.0,0.0,0.0,20.071383853002832,15.0
-162.86666666666667,12.689534046514005,10.318449025735159,30.244922567105068,12.689534046514005,12.689534046514005,7.50538843385301,7.50538843385301,7.50538843385301,7.50538843385301,7.50538843385301,7.50538843385301,0.0,0.0,0.0,20.194922480367016,15.0
-162.85,12.822883801165407,10.419830990818271,28.720113895849693,12.822883801165407,12.822883801165407,7.494789152940355,7.494789152940355,7.494789152940355,7.494789152940355,7.494789152940355,7.494789152940355,0.0,0.0,0.0,20.317672954105763,14.0
-162.83333333333334,12.956233555816807,11.387688164239284,29.812522524505223,12.956233555816807,12.956233555816807,7.483388610002694,7.483388610002694,7.483388610002694,7.483388610002694,7.483388610002694,7.483388610002694,0.0,0.0,0.0,20.4396221658195,15.0
-162.81666666666666,13.089583310468207,11.496507851800823,30.332189486494322,13.089583310468207,13.089583310468207,7.47117445769946,7.47117445769946,7.47117445769946,7.47117445769946,7.47117445769946,7.47117445769946,0.0,0.0,0.0,20.56075776816767,14.0
-162.8,13.222933065119607,10.902294578759864,29.89683713163472,13.222933065119607,13.222933065119607,7.458135108897327,7.458135108897327,7.458135108897327,7.458135108897327,7.458135108897327,7.458135108897327,0.0,0.0,0.0,20.681068174016936,15.0
