ds,y
46137600,25
46224000,22
46310400,24
46396800,20
46483200,24
46569600,19
46656000,21
46742400,24
46828800,24
46915200,24
47001600,25
47088000,25
47174400,22
47260800,41
47347200,44
47433600,42
47520000,44
47606400,43
47692800,43
47779200,47
47865600,45
47952000,42
48038400,40
48124800,40
48211200,41
48297600,41
48384000,44
48470400,45
48556800,25
48643200,25
48729600,27
48816000,26
48902400,28
48988800,27
49075200,26
49161600,27
49248000,26
49334400,30
49420800,28
49507200,27
49593600,45
49680000,27
49766400,28
49852800,27
49939200,28
50025600,27
50112000,45
50198400,47
50284800,47
50371200,47
50457600,47
50544000,46
50630400,47
50716800,47
50803200,46
50889600,46
50976000,49
51062400,48
51148800,60
51235200,52
51321600,51
51408000,48
51494400,50
51580800,53
51667200,51
51753600,50
51840000,68
51926400,62
52012800,58
52099200,57
52185600,63
52272000,63
52358400,57
52444800,16
52531200,15
52617600,14
52704000,14
52790400,16
52876800,14
52963200,15
53049600,15
53136000,14
53222400,16
53308800,15
53395200,15
53481600,15
53568000,13
53654400,14
53740800,13
53827200,14
53913600,15
54000000,16
54086400,16
54172800,15
54259200,14
54345600,14
54432000,14
54518400,14
54604800,14
54691200,15
54777600,16
54864000,15
54950400,15
55036800,14
55123200,15
55209600,16
55296000,16
55382400,15
55468800,13
55555200,15
55641600,15
55728000,16
55814400,16
55900800,14
55987200,18
56073600,17
56160000,17
56246400,16
56332800,16
56419200,16
56505600,17
56592000,14
56678400,16
56764800,19
56851200,16
56937600,17
57024000,16
57110400,16
57196800,17
57283200,15
57369600,17
57456000,16
57542400,17
57628800,17
57715200,17
57801600,18
57888000,17
57974400,18
58060800,17
58147200,17
58233600,19
58320000,18
58406400,17
58492800,16
58579200,17
58665600,38
58752000,35
58838400,30
58924800,39
59011200,30
59097600,35
59184000,22
59270400,37
59356800,38
59443200,37
59529600,25
59616000,35
59702400,35
59788800,34
59875200,28
59961600,39
60048000,31
60134400,35
60220800,40
60307200,34
60393600,38
60480000,38
60566400,40
60652800,36
60739200,39
60825600,38
60912000,23
60998400,34
61084800,40
61171200,38
61257600,37
61344000,35
61430400,20
61516800,34
61603200,37
61689600,35
61776000,30
61862400,20
61948800,18
62035200,34
62121600,35
62208000,31
62294400,32
62380800,36
62467200,36
62553600,34
62640000,34
62726400,23
62812800,40
62899200,28
62985600,25
63072000,25
63158400,40
63244800,31
63331200,28
63417600,35
63504000,25
63590400,23
63676800,22
63763200,29
63849600,25
63936000,22
64022400,36
64108800,23
64195200,27
64281600,23
64368000,36
64454400,38
64540800,34
64627200,32
64713600,28
64800000,19
64886400,22
64972800,18
65059200,24
65145600,39
65232000,36
65318400,23
